,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time,EBS_Iops,EBS_Size,EBS_Throughput,EBS_VolumeType,pipeline_end_time,pipeline_type,pipeline_start_time
11,SRR11653996,endometrium,7.41,3936225218,26867333576,5959688509,111,34737400,8,r8g.2xlarge,paired,i-0036a48f1048268fe,EC2,s3://neardata-test-graviton/STAR/low_mapping_rate/endometrium/normalized_counts/SRR11653996_STAR_normalized_counts.tsv,2025-01-24T10:31:41,2025-01-24T10:33:48,2025-01-24T10:33:48,2025-01-24T10:35:15,2025-01-24T10:35:15,2025-01-24T10:53:55,2025-01-24T10:53:55,2025-01-24T10:54:01,3000,550,500,gp3,2025-01-24T10:54:01,STAR,2025-01-24T10:31:41
12,SRR12235078,endothelium,87.96,1315865469,6836599308,1651322529,111,19431176,8,r8g.2xlarge,single,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/endothelium/normalized_counts/SRR12235078_STAR_normalized_counts.tsv,2025-01-24T10:34:47,2025-01-24T10:35:27,2025-01-24T10:35:27,2025-01-24T10:35:40,2025-01-24T10:35:40,2025-01-24T10:37:04,2025-01-24T10:37:04,2025-01-24T10:37:09,3000,550,500,gp3,2025-01-24T10:37:10,STAR,2025-01-24T10:34:47
13,SRR21986285,endothelium,80.42,617689140,4449293694,1102623269,111,19204009,8,r8g.2xlarge,single,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/endothelium/normalized_counts/SRR21986285_STAR_normalized_counts.tsv,2025-01-24T10:37:12,2025-01-24T10:37:34,2025-01-24T10:37:34,2025-01-24T10:37:43,2025-01-24T10:37:43,2025-01-24T10:38:52,2025-01-24T10:38:52,2025-01-24T10:38:58,3000,550,500,gp3,2025-01-24T10:38:58,STAR,2025-01-24T10:37:12
14,SRR14233734,endothelium,79.38,404785467,2244972644,867133760,111,12442484,8,r8g.2xlarge,single,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/endothelium/normalized_counts/SRR14233734_STAR_normalized_counts.tsv,2025-01-24T10:38:59,2025-01-24T10:39:13,2025-01-24T10:39:13,2025-01-24T10:39:18,2025-01-24T10:39:18,2025-01-24T10:39:59,2025-01-24T10:39:59,2025-01-24T10:40:04,3000,550,500,gp3,2025-01-24T10:40:04,STAR,2025-01-24T10:38:59
15,SRR6879134,endothelium,78.4,8995876464,81048949452,16741897555,111,117391579,8,r8g.2xlarge,paired,i-0926837caeb8ecb25,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/endothelium/normalized_counts/SRR6879134_STAR_normalized_counts.tsv,2025-01-24T10:42:09,2025-01-24T10:46:33,2025-01-24T10:46:33,2025-01-24T10:53:45,2025-01-24T10:53:45,2025-01-24T11:16:42,2025-01-24T11:16:42,2025-01-24T11:16:49,3000,550,500,gp3,2025-01-24T11:16:50,STAR,2025-01-24T10:42:09
16,SRR16541622,endothelium,15.59,462164864,3083482152,712017428,111,4047606,8,r8g.2xlarge,paired,i-04d59139be7085dad,EC2,s3://neardata-test-graviton/STAR/low_mapping_rate/endothelium/normalized_counts/SRR16541622_STAR_normalized_counts.tsv,2025-01-24T10:44:05,2025-01-24T10:44:20,2025-01-24T10:44:20,2025-01-24T10:44:23,2025-01-24T10:44:23,2025-01-24T10:47:18,2025-01-24T10:47:18,2025-01-24T10:47:23,3000,550,500,gp3,2025-01-24T10:47:24,STAR,2025-01-24T10:44:05
17,SRR1724263,epithelium,74.79,308957579,1596629830,404512028,111,7301402,8,r8g.2xlarge,single,i-0a97c8a0032919617,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/epithelium/normalized_counts/SRR1724263_STAR_normalized_counts.tsv,2025-01-24T10:53:17,2025-01-24T10:53:26,2025-01-24T10:53:26,2025-01-24T10:53:30,2025-01-24T10:53:30,2025-01-24T10:53:53,2025-01-24T10:53:53,2025-01-24T10:53:58,3000,550,500,gp3,2025-01-24T10:53:59,STAR,2025-01-24T10:53:17
18,SRR18253073,epithelium,69.16,341167589,1824622598,341296364,111,6894039,8,r8g.2xlarge,single,i-0a97c8a0032919617,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/epithelium/normalized_counts/SRR18253073_STAR_normalized_counts.tsv,2025-01-24T10:44:12,2025-01-24T10:44:24,2025-01-24T10:44:24,2025-01-24T10:44:26,2025-01-24T10:44:26,2025-01-24T10:44:50,2025-01-24T10:44:50,2025-01-24T10:44:55,3000,550,500,gp3,2025-01-24T10:44:56,STAR,2025-01-24T10:44:12
19,SRR7093856,fibroblasts,90.11,472412659,3960475540,697427343,111,17262586,8,r8g.2xlarge,single,i-0719a4fc0491ec43d,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/fibroblasts/normalized_counts/SRR7093856_STAR_normalized_counts.tsv,2025-01-24T10:45:03,2025-01-24T10:45:16,2025-01-24T10:45:16,2025-01-24T10:45:23,2025-01-24T10:45:23,2025-01-24T10:46:09,2025-01-24T10:46:09,2025-01-24T10:46:14,3000,550,500,gp3,2025-01-24T10:46:15,STAR,2025-01-24T10:45:03
20,SRR8866763,fibroblasts,80.94,780890977,5293829668,1345682677,111,21878497,8,r8g.2xlarge,single,i-0036a48f1048268fe,EC2,s3://neardata-test-graviton/STAR/high_mapping_rate/fibroblasts/normalized_counts/SRR8866763_STAR_normalized_counts.tsv,2025-01-24T10:54:03,2025-01-24T10:54:25,2025-01-24T10:54:25,2025-01-24T10:54:33,2025-01-24T10:54:33,2025-01-24T10:55:37,2025-01-24T10:55:37,2025-01-24T10:55:41,3000,550,500,gp3,2025-01-24T10:55:42,STAR,2025-01-24T10:54:03
