srr_id,size [B]
SRR16541624,460679504
SRR16541605,683646513
SRR16541630,500099726
SRR16541621,675019807
SRR16541615,633094302
SRR16541602,380261952
SRR16541632,520439345
SRR16541637,21324694
SRR16541629,1613509273
SRR16541631,507462272
SRR16541612,485584965
SRR16541646,744350022
SRR16541601,390206380
SRR16541634,1481958015
SRR16541628,1672591654
SRR16541644,244090777
SRR16541643,218255457
SRR16541633,533249862
SRR16541635,461367824
SRR16541627,763964843
SRR16541638,6607834
SRR16541639,6693598
SRR16541636,475988180
SRR16541640,782253496
SRR16541641,680735574
SRR16541642,212317519
SRR16541645,253273472
SRR16541647,231980434
SRR16541648,240865025
SRR16541652,656580389
SRR16541657,441531650
SRR16541660,406489617
SRR16541664,1118074430
SRR16541659,394580849
SRR16541651,250059380
SRR16541653,628925690
SRR16541650,246310880
SRR16541655,1266427965
SRR16541654,652200659
SRR16541666,349899925
SRR16541661,1178231765
SRR16541656,1422392613
SRR16541658,457336715
SRR16541669,724016700
SRR16541662,362336973
SRR16541649,789116690
SRR16541665,345579547
SRR16541667,743916781
SRR16541670,748574414
SRR16541668,752858474
SRR16541672,740171640
SRR16541671,715182820
SRR16541676,9573235
SRR16541678,9536050
SRR16541680,336381214
SRR16541673,630864543
SRR16541675,626470651
SRR16541679,334411136
SRR16541674,604964050
SRR16541677,9195254
SRR16541681,323089644
SRR16541684,332746000
SRR16541683,324012439
SRR16541685,331823637
SRR16541690,257990068
SRR16541663,375491914
SRR16541692,602237687
SRR16541686,319090954
SRR16541693,579791797
SRR16541691,422986346
SRR16541688,259039401
SRR16541694,601129622
SRR16541689,250813294
SRR16541695,410010446
SRR16541696,421798299
SRR16541682,333495151
SRR16541687,331233056
SRR16541699,481735009
SRR16578993,935254495
SRR16541698,465095347
SRR16578997,812090868
SRR17287247,6053058581
SRR16541697,483634115
SRR16578999,1024023111
SRR16578996,874277651
SRR16541701,839680691
SRR16578998,1044499974
SRR16541700,869197487
SRR17465705,768645416
SRR17287248,7300466459
SRR17465704,723313959
SRR16578995,1057667760
SRR17287251,6744123485
SRR17465710,995342589
SRR17287246,7316803390
SRR17287250,6386317115
SRR17465713,772302984
SRR17465709,1506107806
SRR17465712,1145617674
SRR16578994,988283164
SRR17287249,7117777541
SRR17465702,842250179
SRR16541702,864638926
SRR17465706,1128756710
SRR17465703,889076491
SRR17465708,1784970103
SRR17465711,1145161003
SRR17848271,1861717676
SRR17848276,2849500602
SRR18016624,920154218
SRR17809186,948385912
SRR17465707,1168344387
SRR17809184,811101215
SRR17809182,939907464
SRR17848273,2428859051
SRR17848270,2361252617
SRR17809183,840538411
SRR17848278,16266621502
SRR17809187,355291632
SRR18016623,996391994
SRR17809185,738959049
SRR17848272,3127278071
SRR17848279,69982397067
SRR17848274,2369493733
SRR17848275,1884787446
SRR17848277,2489791146
SRR18016628,1002024420
SRR18016626,1449618286
SRR18016629,944362753
SRR18016633,1374626401
SRR18016625,1219974786
SRR18016630,1118173673
SRR18016635,1179538565
SRR18059494,2837147149
SRR18016636,1188330111
SRR18016632,818684833
SRR18059495,2933336633
SRR18016627,861816649
SRR18016637,927969078
SRR1806588,288431280
SRR18059499,2603531395
SRR18059498,2861728100
SRR18059497,3035062184
SRR18016631,1169421716
SRR1806589,325508567
SRR18059496,3267226415
SRR18059501,3294642888
SRR1806587,313029877
SRR18059500,3388806848
SRR18156451,1180915314
SRR18156450,1414146894
SRR18156452,854107924
SRR18156454,924461186
SRR18156453,961363901
SRR18156525,1113988548
SRR18156524,1000376139
SRR18156534,936099264
SRR18156455,1210020091
SRR18156532,951177899
SRR18156536,870515078
SRR18156526,926232207
SRR18156529,1174636425
SRR18156541,1260499112
SRR18156530,953214898
SRR18059502,3270473723
SRR18156539,1090213959
SRR18156527,1208446870
SRR18156528,1019449889
SRR18156531,1239378374
SRR18156535,1236081438
SRR18156533,1219100234
SRR18156540,891946741
SRR18156538,1108251721
SRR18156537,1239739355
SRR18156542,1072492839
SRR18156544,1024054462
SRR19357922,2221471638
SRR18156543,1165156971
SRR19357920,2007563774
SRR19357921,1872988594
SRR18156546,900326706
SRR18156545,1217671466
SRR19357917,2071925560
SRR19357919,2239857160
SRR19357924,1896014077
SRR19357918,2246607027
SRR19372647,2788576750
SRR19850675,2220946091
SRR19850676,2181141388
SRR19372645,4027704649
SRR19372646,4163792253
SRR19850677,2371224419
SRR19850680,2281720009
SRR19850678,2210534812
SRR19850679,2172143269
SRR18156547,1266635811
SRR2060663,130731696
SRR20665933,3406733759
SRR20665932,3419915075
SRR2060666,188029734
SRR20688787,2201615277
SRR20688789,2309928260
SRR20688788,2173257223
SRR20688791,2060277925
SRR20688786,2208728630
SRR20688793,2237216602
SRR21006667,498533178
SRR19357925,2355792753
SRR21006671,393732029
SRR21006663,395712387
SRR19357923,2302657496
SRR21006665,402407944
SRR2060664,159092035
SRR2060665,149349608
SRR20688790,2066514857
SRR21006664,384745491
SRR20688792,2120005663
SRR21006662,377180914
SRR21006669,423461024
SRR21006670,375366659
SRR21006672,552701967
SRR21006666,475801428
SRR21006668,405834753
SRR21461726,1264313959
SRR21461724,1179084659
SRR21461723,1200839015
SRR21006673,589116621
SRR21461725,1157762008
SRR21986280,1330919223
SRR21461722,1349452723
SRR21986281,1079797141
SRR21986285,617689140
SRR21986283,672751681
SRR21986284,783576109
SRR21986286,944029294
SRR21986292,1598506831
SRR21986290,1307119302
SRR21986287,462357165
SRR21986289,1604024284
SRR21986291,2496023215
SRR21986288,1794622368
SRR22520673,823606155
SRR21986296,1606316860
SRR21986295,1382639364
SRR22520672,1068652857
SRR22520675,1089160016
SRR21986293,1578353608
SRR22520683,1206235348
SRR22520678,673045573
SRR22520685,1031000498
SRR22520682,990954488
SRR22520681,793884559
SRR21461721,1249296223
SRR22520677,360904816
SRR22520702,666715269
SRR22520690,869778260
SRR21986282,669384450
SRR22520701,715965961
SRR22520688,830983035
SRR23024989,2022596126
SRR22520692,817338886
SRR22520703,700650168
SRR21986294,1899609397
SRR22520684,1230044443
SRR22520694,4242790197
SRR23024988,1008527292
SRR22520704,848737857
SRR23024990,1634334934
SRR22520691,784324778
SRR23024987,2602688982
SRR22520689,788273013
SRR22520700,637759613
SRR23447703,2232162363
SRR23024991,1670794787
SRR23447701,2083303389
SRR23447699,1692619155
SRR23447704,2158588384
SRR2656885,124090162
SRR23447705,2128599009
SRR3234525,11374039881
SRR2656883,109305284
SRR2656886,103381146
SRR5052460,1773957454
SRR5052459,572255143
SRR5052461,634963312
SRR5179281,199506211
SRR5052462,1775304891
SRR5179285,125406008
SRR5179282,187490939
SRR2656884,94949841
SRR5179286,271468502
SRR23447702,1930194989
SRR23447698,2617553174
SRR5179293,787718017
SRR5179288,51412410
SRR5179291,146281478
SRR23447700,1952998497
SRR5179284,142788777
SRR5179290,145437073
SRR5179283,155507776
SRR5179289,158475121
SRR5179294,851077325
SRR5179287,138945357
SRR5179297,447902028
SRR5269578,357925217
SRR3922588,2128003184
SRR3922587,1781219984
SRR5179292,185989938
SRR5179295,1042382613
SRR3922582,2157681874
SRR5179298,387635567
SRR3922580,2753332260
SRR5179296,665436732
SRR3922584,2261734503
SRR3922591,2333843517
SRR3922583,2087527112
SRR3922590,1504431684
SRR3922586,2194111360
SRR3922581,1893749020
SRR3922585,2572154506
SRR3922589,2024649217
SRR529076,611109314
SRR5380562,298733352
SRR5942274,320332349
SRR5380563,406857939
SRR5942269,97714063
SRR5380561,580900892
SRR5942268,214896185
SRR6028115,421108731
SRR5866127,5456448715
SRR5380565,338120990
SRR529086,423495708
SRR578615,377084327
SRR5866122,4750401081
SRR6511482,243332685
SRR5942275,124623424
SRR5380564,292381195
SRR5942267,195168023
SRR6511479,169821347
SRR578619,462841502
SRR5942270,98096153
SRR5269579,411144108
SRR5866125,4797687656
SRR6511486,168758409
SRR5380560,516464686
SRR6511484,237761166
SRR5942272,286990329
SRR5866121,4467759655
SRR5866123,3072683228
SRR5942273,189875752
SRR6511475,190873788
SRR6511485,230674175
SRR5942271,255249121
SRR5866124,4666615032
SRR6511477,195405772
SRR5866126,5725628160
SRR6511474,206549237
SRR5942266,219724294
SRR6511488,162932305
SRR6511480,177208574
SRR6511476,200657546
SRR6511481,174014108
SRR6511483,226549675
SRR6511487,155772411
SRR6511490,201605525
SRR6511478,184162535
SRR6511489,159672471
SRR6511491,186177134
SRR5269580,339179568
SRR6511496,211905681
SRR6511510,214500193
SRR6511512,208825857
SRR6511511,199080894
SRR6511500,193877811
SRR6511506,233376892
SRR6511508,229900297
SRR6511492,194486445
SRR6511498,198458781
SRR6511502,196829700
SRR6511495,202218313
SRR6511523,176337743
SRR6511520,154137425
SRR6511509,223157661
SRR6511499,186150532
SRR6511526,177020786
SRR6511507,220540778
SRR6511494,217741485
SRR6511524,184096351
SRR6879118,8988664317
SRR6511522,189232781
SRR6879121,10336539420
SRR6879117,3282660778
SRR6511505,186298897
SRR6511525,179807006
SRR6511501,189072713
SRR6879116,3072683480
SRR6879120,8842320679
SRR6511497,206399674
SRR6879112,4750400985
SRR6879122,7856022264
SRR6511517,148883270
SRR6511503,182448971
SRR6511513,203269650
SRR6511521,151421048
SRR6879115,4467760683
SRR6511516,152006843
SRR6511518,159625553
SRR6511514,157038700
SRR6511515,145929355
SRR6511519,148476476
SRR6511493,190676105
SRR6511528,172432235
SRR6511527,164893246
SRR6511504,191526898
SRR6879114,4797685864
SRR6879119,10349816583
SRR6511529,168111737
SRR6879113,5092653516
SRR6879131,8390279804
SRR6879126,9432665571
SRR6879129,8360302999
SRR6879128,7998019792
SRR6879123,9693431946
SRR8097373,870411168
SRR6879135,10932586273
SRR6879124,8240806602
SRR8097376,895721734
