,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_Size,EBS_Iops,EBS_VolumeType,EBS_Throughput
22,SRR8981819,fibroblasts,74.8716,6421228614,37875218184,111,49432431,8,c6a.2xlarge,paired,i-0642941784144cc2b,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR8981819_salmon_normalized_counts.tsv,2024-05-14T10:19:23,2024-05-14T10:21:57,2024-05-14T10:21:57,2024-05-14T10:25:23,2024-05-14T10:25:23,2024-05-14T10:34:47,2024-05-14T10:34:47,2024-05-14T10:34:58,550,3000,gp3,500
23,ERR3671311,heart_muscle,89.093,410926012,3436222438,111,14932640,8,c6a.2xlarge,single,i-06ce30a687528bdaf,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/ERR3671311_salmon_normalized_counts.tsv,2024-05-14T10:18:09,2024-05-14T10:18:14,2024-05-14T10:18:14,2024-05-14T10:18:24,2024-05-14T10:18:24,2024-05-14T10:19:43,2024-05-14T10:19:43,2024-05-14T10:19:52,550,3000,gp3,500
24,SRR4240822,heart_muscle,59.9336,2554703581,16369328280,111,31800345,8,c6a.2xlarge,paired,i-0d6b6606c1daf0770,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR4240822_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:56,2024-05-14T10:15:56,2024-05-14T10:17:28,2024-05-14T10:17:28,2024-05-14T10:21:38,2024-05-14T10:21:38,2024-05-14T10:22:01,550,3000,gp3,500
25,SRR16145819,heart_muscle,30.3346,2152535766,16629364226,111,51246194,8,c6a.2xlarge,single,i-0d6b6606c1daf0770,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR16145819_salmon_normalized_counts.tsv,2024-05-14T10:22:04,2024-05-14T10:22:57,2024-05-14T10:22:57,2024-05-14T10:24:24,2024-05-14T10:24:24,2024-05-14T11:04:31,2024-05-14T11:04:31,2024-05-14T11:04:42,550,3000,gp3,500
26,SRR12503616,heart_muscle,30.3316,1720016748,13332049450,111,41099010,8,c6a.2xlarge,single,i-000e0b268b67ac240,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR12503616_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:36,2024-05-14T10:15:36,2024-05-14T10:16:36,2024-05-14T10:16:36,2024-05-14T10:50:16,2024-05-14T10:50:16,2024-05-14T10:50:41,550,3000,gp3,500
27,SRR1220504,intestine,69.1862,1360639506,6494987908,111,9586715,8,c6a.2xlarge,paired,i-028dbe724e88d8ce4,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR1220504_salmon_normalized_counts.tsv,2024-05-14T10:14:57,2024-05-14T10:15:27,2024-05-14T10:15:27,2024-05-14T10:15:51,2024-05-14T10:15:51,2024-05-14T10:17:28,2024-05-14T10:17:28,2024-05-14T10:17:47,550,3000,gp3,500
28,SRR12495892,intestine,66.6271,1981200625,15452537308,111,20131381,8,c6a.2xlarge,paired,i-0ee77e93340489c99,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR12495892_salmon_normalized_counts.tsv,2024-05-14T10:23:59,2024-05-14T10:24:46,2024-05-14T10:24:46,2024-05-14T10:25:55,2024-05-14T10:25:55,2024-05-14T10:30:06,2024-05-14T10:30:06,2024-05-14T10:30:18,550,3000,gp3,500
29,SRR10600396,intestine,50.8838,11808688005,77111111184,111,100000000,8,c6a.2xlarge,paired,i-0cfe47cd248f4b9de,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR10600396_salmon_normalized_counts.tsv,2024-05-14T10:18:54,2024-05-14T10:23:10,2024-05-14T10:23:10,2024-05-14T10:30:16,2024-05-14T10:30:16,2024-05-14T11:10:11,2024-05-14T11:10:11,2024-05-14T11:10:22,550,3000,gp3,500
30,SRR11245149,intestine,33.6466,3886013024,17940220944,111,50603525,8,c6a.2xlarge,single,i-0bada99f3c9c79690,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR11245149_salmon_normalized_counts.tsv,2024-05-14T10:20:31,2024-05-14T10:21:53,2024-05-14T10:21:53,2024-05-14T10:23:43,2024-05-14T10:23:43,2024-05-14T10:29:37,2024-05-14T10:29:37,2024-05-14T10:29:47,550,3000,gp3,500
31,SRR14132098,kidney_cells,92.1268,2007386141,13675145186,111,47970593,8,c6a.2xlarge,single,i-04ca906049f8cb3ef,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR14132098_salmon_normalized_counts.tsv,2024-05-14T10:24:28,2024-05-14T10:25:14,2024-05-14T10:25:14,2024-05-14T10:26:14,2024-05-14T10:26:14,2024-05-14T10:30:01,2024-05-14T10:30:01,2024-05-14T10:30:11,550,3000,gp3,500
