,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_VolumeType,EBS_Throughput,EBS_Iops,EBS_Size
36,SRR13444190,kidney_cells,52.8573,5254599524,41666530506,111,54210487,8,c7a.2xlarge,paired,i-0f8f1ee395dc1d10d,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR13444190_salmon_normalized_counts.tsv,2024-05-14T11:26:17,2024-05-14T11:27:57,2024-05-14T11:27:57,2024-05-14T11:31:41,2024-05-14T11:31:41,2024-05-14T11:40:01,2024-05-14T11:40:01,2024-05-14T11:40:10,gp3,500,3000,550
37,SRR11476811,lymphoid_tissue,80.2173,2035144983,16879329712,111,21866261,8,c7a.2xlarge,paired,i-03ecca27369c9bb8c,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR11476811_salmon_normalized_counts.tsv,2024-05-14T11:24:47,2024-05-14T11:25:28,2024-05-14T11:25:28,2024-05-14T11:26:47,2024-05-14T11:26:47,2024-05-14T11:30:00,2024-05-14T11:30:00,2024-05-14T11:30:10,gp3,500,3000,550
38,SRR17010969,lymphoid_tissue,79.7524,2747624855,17412527292,111,23830171,8,c7a.2xlarge,paired,i-04fad3c12b1458047,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR17010969_salmon_normalized_counts.tsv,2024-05-14T11:23:25,2024-05-14T11:24:12,2024-05-14T11:24:12,2024-05-14T11:25:39,2024-05-14T11:25:39,2024-05-14T11:29:03,2024-05-14T11:29:03,2024-05-14T11:29:12,gp3,500,3000,550
39,SRR11476774,lymphoid_tissue,59.9644,1845113197,15122198768,111,19601917,8,c7a.2xlarge,paired,i-0ef2170d0514b0d50,EC2,s3://neardata-other/Salmon/high_mapping_rate/lymphoid_tissue/normalized_counts/SRR11476774_salmon_normalized_counts.tsv,2024-05-14T11:25:33,2024-05-14T11:26:09,2024-05-14T11:26:09,2024-05-14T11:27:19,2024-05-14T11:27:19,2024-05-14T11:29:52,2024-05-14T11:29:52,2024-05-14T11:30:01,gp3,500,3000,550
40,SRR9861664,nervous_cells,89.477,2670462437,19123935620,111,41598083,8,c7a.2xlarge,paired,i-0eff43c3341afc652,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR9861664_salmon_normalized_counts.tsv,2024-05-14T11:28:18,2024-05-14T11:29:10,2024-05-14T11:29:10,2024-05-14T11:30:46,2024-05-14T11:30:46,2024-05-14T11:33:51,2024-05-14T11:33:51,2024-05-14T11:34:00,gp3,500,3000,550
41,ERR2704987,nervous_cells,67.4796,246837660,1762528280,111,7720292,8,c7a.2xlarge,single,i-0ef2170d0514b0d50,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/ERR2704987_salmon_normalized_counts.tsv,2024-05-14T11:24:01,2024-05-14T11:24:07,2024-05-14T11:24:07,2024-05-14T11:24:10,2024-05-14T11:24:10,2024-05-14T11:25:24,2024-05-14T11:25:24,2024-05-14T11:25:32,gp3,500,3000,550
42,ERR4318992,nervous_cells,66.1925,237357296,1651147620,111,7233452,8,c7a.2xlarge,single,i-0eff43c3341afc652,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/ERR4318992_salmon_normalized_counts.tsv,2024-05-14T11:26:47,2024-05-14T11:26:52,2024-05-14T11:26:52,2024-05-14T11:26:55,2024-05-14T11:26:55,2024-05-14T11:28:08,2024-05-14T11:28:08,2024-05-14T11:28:17,gp3,500,3000,550
43,SRR12564326,nervous_cells,55.1181,3309775028,16469889392,111,50423848,8,c7a.2xlarge,single,i-09819c75a9eb9773d,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12564326_salmon_normalized_counts.tsv,2024-05-14T11:24:46,2024-05-14T11:25:53,2024-05-14T11:25:53,2024-05-14T11:27:21,2024-05-14T11:27:21,2024-05-14T11:35:19,2024-05-14T11:35:19,2024-05-14T11:35:28,gp3,500,3000,550
44,SRR12564321,nervous_cells,54.3476,3468073785,17452123142,111,53426602,8,c7a.2xlarge,single,i-0b968512b12e75429,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12564321_salmon_normalized_counts.tsv,2024-05-14T11:28:05,2024-05-14T11:29:17,2024-05-14T11:29:17,2024-05-14T11:30:57,2024-05-14T11:30:57,2024-05-14T11:39:30,2024-05-14T11:39:30,2024-05-14T11:39:39,gp3,500,3000,550
45,SRR12520097,nervous_cells,43.5808,2039467098,10980000668,111,32264740,8,c7a.2xlarge,single,i-02598f5b02019c014,EC2,s3://neardata-other/Salmon/high_mapping_rate/nervous_cells/normalized_counts/SRR12520097_salmon_normalized_counts.tsv,2024-05-14T11:29:05,2024-05-14T11:29:45,2024-05-14T11:29:45,2024-05-14T11:30:20,2024-05-14T11:30:20,2024-05-14T11:52:07,2024-05-14T11:52:07,2024-05-14T11:52:16,gp3,500,3000,550
46,SRR9192586,ovarian_cells,31.0281,4533144880,33673177884,111,72586257,8,c7a.2xlarge,paired,i-0e57b51004aaa3904,EC2,s3://neardata-other/Salmon/high_mapping_rate/ovarian_cells/normalized_counts/SRR9192586_salmon_normalized_counts.tsv,2024-05-14T11:23:14,2024-05-14T11:24:45,2024-05-14T11:24:45,2024-05-14T11:27:44,2024-05-14T11:27:44,2024-05-14T11:35:32,2024-05-14T11:35:32,2024-05-14T11:35:41,gp3,500,3000,550
47,SRR22229936,prostate_tissue,78.1979,233512359,2449233886,111,8215687,8,c7a.2xlarge,single,i-0b968512b12e75429,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR22229936_salmon_normalized_counts.tsv,2024-05-14T11:26:40,2024-05-14T11:26:46,2024-05-14T11:26:46,2024-05-14T11:26:49,2024-05-14T11:26:49,2024-05-14T11:27:55,2024-05-14T11:27:55,2024-05-14T11:28:04,gp3,500,3000,550
48,SRR1503857,prostate_tissue,73.2078,803243777,6725496356,111,27100725,8,c7a.2xlarge,single,i-03c91d8562398a534,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR1503857_salmon_normalized_counts.tsv,2024-05-14T11:29:05,2024-05-14T11:29:20,2024-05-14T11:29:20,2024-05-14T11:29:39,2024-05-14T11:29:39,2024-05-14T11:31:54,2024-05-14T11:31:54,2024-05-14T11:32:03,gp3,500,3000,550
49,SRR1260106,prostate_tissue,66.8348,469157628,3471696290,111,14414434,8,c7a.2xlarge,single,i-0c203027d5c567c50,EC2,s3://neardata-other/Salmon/high_mapping_rate/prostate_tissue/normalized_counts/SRR1260106_salmon_normalized_counts.tsv,2024-05-14T11:27:04,2024-05-14T11:27:13,2024-05-14T11:27:13,2024-05-14T11:27:20,2024-05-14T11:27:20,2024-05-14T11:29:01,2024-05-14T11:29:01,2024-05-14T11:29:10,gp3,500,3000,550
